5f - 3d 3Fo            2p5f G[7/2]e4 - 2p3d(3Fo 3)       2884.25 * 2.19e+2 4.58e+1 2.42e+1 6.09e+0 3.22e+0 2.17e+0 1.70e+0
5f - 3d 3Fo            2p5f G[7/2]e3 - 2p3d(3Fo 2)       2879.75 * 2.26e+2 4.75e+1 2.51e+1 6.30e+0 3.33e+0 2.25e+0 1.77e+0
5f - 3d 3Fo            2p5f G[7/2]e4 - 2p3d(3Fo 3)       2897.50 * 5.03e+2 5.31e+1 2.51e+1 5.81e+0 3.06e+0 2.07e+0 1.67e+0
5f - 3d 3Fo            2p5f G[7/2]e3 - 2p3d(3Fo 2)       2892.87 * 5.99e+2 6.30e+1 2.95e+1 6.79e+0 3.56e+0 2.41e+0 1.96e+0
5f - 3d 3Do            2p5f F[7/2]e4 - 2p3d(3Do 3)       2976.97 * 8.19e+2 8.65e+1 4.09e+1 9.47e+0 4.99e+0 3.38e+0 2.73e+0
5f - 3d 3Do            2p5f F[7/2]e3 - 2p3d(3Do 2)       2974.64 * 3.67e+2 3.86e+1 1.81e+1 4.17e+0 2.18e+0 1.48e+0 1.20e+0
5f - 3d 3Do            2p5f F[5/2]e2 - 2p3d(3Do 1)       2973.60 * 6.02e+2 6.34e+1 3.00e+1 6.96e+0 3.67e+0 2.49e+0 1.99e+0
5f - 3d 3Do            2p5f F[5/2]e3 - 2p3d(3Do 2)       2975.95 * 3.64e+2 3.83e+1 1.80e+1 4.17e+0 2.19e+0 1.49e+0 1.25e+0
5f - 3d 3Po            2p5f D[5/2]e3 - 2p3d(3Po 2)       3082.20 * 3.13e+2 6.56e+1 3.46e+1 8.66e+0 4.56e+0 3.06e+0 2.33e+0
5f - 3d 1Do            2p5f F[5/2]e3 - 2p3d(1Do 2)       2943.51 * 5.81e+2 6.11e+1 2.88e+1 6.66e+0 3.50e+0 2.38e+0 2.00e+0
5d 3Fo - 3p 3De        2p5d(3Fo 3) - 2p3p(3De 2)         1858.42   4.81e+2 5.27e+1 2.68e+1 8.13e+0 5.05e+0 4.25e+0 6.23e+0
5d 3Fo - 3p 3De        2p5d(3Fo 2) - 2p3p(3De 1)         1857.44   1.65e+2 1.83e+1 8.96e+0 2.59e+0 1.60e+0 1.41e+0 2.45e+0
4f - 3d 1Po            2p4f D[5/2]e2 - 2p3d(1Po 1)       4694.64 * 6.57e+2 1.25e+2 6.24e+1 1.30e+1 6.29e+0 4.01e+0 2.92e+0
4f - 3d 3Po            2p4f D[5/2]e2 - 2p3d(3Po 1)       4442.01 * 5.49e+2 1.04e+2 5.22e+1 1.09e+1 5.26e+0 3.35e+0 2.44e+0
4f - 3d 3Po            2p4f D[5/2]e3 - 2p3d(3Po 2)       4432.74 * 1.95e+3 3.70e+2 1.85e+2 3.86e+1 1.87e+1 1.19e+1 8.81e+0
4f - 3d 3Do            2p4f D[5/2]e3 - 2p3d(3Do 3)       4179.67 * 4.58e+2 8.70e+1 4.35e+1 9.08e+0 4.39e+0 2.81e+0 2.07e+0
4f - 3d 3Do            2p4f D[7/2]e4 - 2p3d(3Do 3)       4199.98 * 4.35e+2 7.41e+1 3.64e+1 7.54e+0 3.65e+0 2.36e+0 1.82e+0
