N5+  | A | 7618.0000 | 0.550 | -0.764 | 10.35 | 0.717 | 1.000 | A | 15.848
N5+  | A | 4945.0000 | 0.566 | -0.780 | 7.448 | 0.720 | 1.000 | A | 20.100
N5+  | A | 2981.0000 | 0.519 | -0.818 | 4.205 | 0.720 | 1.000 | A | 25.535
N5+  | A | 1620.0000 | 0.907 | -0.749 | 4.205 | 0.720 | 1.000 | A | 35.737
