N3+  | A | 8237.0000 | 0.587 | -0.780 | 7.448 | 0.720 | 1.000 | A | 3.862
N3+  | A | 4379.1100 | 0.697 | -0.784 | 4.205 | 0.720 | 1.000 | A | 6.280
N3+  | A | 1885.0000 | 1.011 | -0.754 | 2.587 | 0.719 | 0.924 | A | 9.583
N3+  | A | 4640.6400 | 1.434 | -0.707 | 1.683 | 0.667 | 0.005 | B | 0.073
N3+  | B | 4640.6400 | 1.449 | -0.700 | 1.683 | 0.667 | 0.768 | B | 11.192
N3+  | A | 4097.3300 | 1.350 | -0.734 | 0.624 | 0.681 | 0.058 | C | 1.034
N3+  | B | 4097.3300 | 2.020 | -0.694 | 0.624 | 0.681 | 0.058 | C | 1.417
