O8+  | A | 6069.0000 | 0.245 | -0.849 | 8.217 | 0.648 | 1.000 | A | 43.049
O8+  | A | 8202.0000 | 0.208 | -0.855 | 9.447 | 0.643 | 1.000 | A | 35.282
O8+  | A | 6064.0000 | 0.080 | -0.774 |10.050 | 0.708 | 1.000 | A | 10.466
